ID,GZBBGA,strike,dip_dir,dip_angle,dot_strike_tick,angle_deg,label_along_strike_m,label_perp_strike_m
129,202001,118.0,208,12,5.551115123125783e-17,90.0,270.0,2.842170943040401e-14
141,202001,137.0,227,41,0.0,90.0,270.0,0.0
142,202001,137.0,227,43,0.0,90.0,270.0,0.0
151,202001,108.0,18,65,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
154,202001,118.0,28,65,-1.1102230246251565e-16,90.0,269.99999999999994,-7.105427357601002e-14
140,202001,137.0,47,47,5.551115123125783e-17,90.0,270.0,0.0
143,202001,135.0,45,48,0.0,90.0,270.0,0.0
144,202001,135.0,45,53,0.0,90.0,270.0,0.0
145,202001,135.0,45,43,0.0,90.0,270.0,0.0
146,202001,136.0,46,39,-1.6653345369377348e-16,90.0,270.0,-2.842170943040401e-14
145,202005,132.0,42,53,0.0,90.0,270.0,-2.842170943040401e-14
146,202005,148.0,58,63,0.0,90.0,270.0,-1.4210854715202004e-14
225,202001,88.0,358,31,2.5673907444456745e-16,89.99999999999999,270.0,6.750155989720952e-14
229,202001,55.0,325,51,-4.440892098500626e-16,89.99999999999997,270.0,-1.1368683772161603e-13
271,202001,102.0,192,41,-1.6653345369377348e-16,90.0,270.00000000000006,-7.815970093361102e-14
277,202005,122.0,32,50,1.6653345369377348e-16,90.0,270.0,7.105427357601002e-14
266,202001,107.0,17,55,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
272,202005,145.0,55,62,-2.7755575615628914e-16,89.99999999999999,270.0,-4.263256414560601e-14
275,202001,110.0,20,62,0.0,90.0,270.0,0.0
276,202001,120.0,210,58,-3.3306690738754696e-16,89.99999999999999,270.0,-8.526512829121202e-14
277,202005,102.0,12,43,0.0,90.0,270.00000000000006,2.842170943040401e-14
279,202005,134.0,44,65,-1.1102230246251565e-16,90.0,270.0,-5.684341886080802e-14
281,202001,115.0,25,40,1.6653345369377348e-16,90.0,270.0,5.684341886080802e-14
275,202001,135.0,45,53,0.0,90.0,270.0,0.0
280,202001,145.0,55,65,-2.7755575615628914e-16,89.99999999999999,270.0,-4.263256414560601e-14
330,202005,58.0,328,47,-5.551115123125783e-17,90.0,270.0,-5.684341886080802e-14
342,202001,67.0,157,43,5.551115123125783e-17,90.0,270.0,4.263256414560601e-14
358,202005,129.0,39,10,1.6653345369377348e-16,90.0,269.99999999999994,2.842170943040401e-14
87,202001,15.0,105,30,-1.3877787807814457e-16,90.0,270.0,-2.842170943040401e-14
